,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
43,53564,1065,169,10,99,0,869,45396,2,9
44,52861,1072,156,10,89,0,889,46095,2,9
45,52151,1088,156,13,85,0,904,46792,1,9
46,51451,1096,146,14,79,0,921,47489,1,9
47,50743,1110,147,14,73,0,934,48186,2,9
48,50041,1115,136,15,71,0,950,48884,2,9
49,49347,1121,126,14,64,0,965,49575,1,9
50,48652,1126,117,14,67,0,978,50272,0,9
51,47954,1134,115,13,65,0,988,50969,0,9
52,47251,1145,112,10,67,0,1002,51664,0,9
53,46551,1152,107,9,61,0,1014,52358,0,9
54,45849,1161,109,10,59,0,1021,53056,1,9
55,45148,1171,104,6,53,0,1036,53753,1,9
56,44449,1177,103,6,54,0,1043,54448,1,9
57,43752,1183,92,5,50,0,1059,55142,0,9
58,43055,1194,96,5,50,0,1066,55840,3,9
59,42352,1204,93,3,47,0,1079,56536,4,9
60,41654,1209,93,4,51,0,1084,57233,4,9
61,40947,1219,94,3,52,0,1090,57932,2,9
62,40251,1226,95,3,53,0,1095,58629,1,9
63,39555,1233,94,3,53,0,1103,59326,2,9
64,38854,1238,87,2,52,0,1114,60025,1,9
65,38151,1248,90,2,50,0,1121,60724,3,9
66,37447,1254,87,1,52,0,1129,61424,2,9
67,36741,1264,87,1,49,0,1139,62122,2,9
68,36037,1272,87,1,49,0,1145,62822,0,9
69,35336,1277,86,1,48,0,1151,63521,0,9
70,34630,1286,87,2,47,0,1159,64221,1,9
71,33926,1294,86,2,44,0,1168,64921,2,9
72,33222,1304,91,4,47,0,1173,65621,3,9
73,32518,1311,88,4,46,0,1182,66321,2,9
74,31815,1322,91,3,45,0,1189,67021,4,9
75,31111,1334,96,4,46,0,1195,67720,4,9
76,30409,1339,96,5,47,0,1200,68419,4,9
77,29702,1350,96,5,48,0,1208,69119,1,9
78,28997,1361,100,5,49,0,1214,69819,0,9
79,28285,1374,103,3,49,0,1224,70519,0,9
80,27580,1383,104,4,51,0,1232,71219,0,9
81,26881,1389,105,4,51,0,1237,71918,1,9
82,26185,1393,101,3,55,0,1245,72617,2,9
83,25484,1402,103,4,58,0,1252,73317,2,9
84,24785,1411,102,3,63,0,1261,74016,2,9
85,24079,1422,105,3,65,0,1268,74715,4,9
86,23379,1427,102,3,62,0,1276,75415,5,9
87,22680,1434,97,2,55,0,1287,76114,5,9
88,21977,1440,95,3,58,0,1292,76813,2,9
89,21280,1447,90,4,54,0,1303,77512,1,9
90,20586,1451,82,2,53,0,1314,78211,1,9
91,19888,1457,75,2,44,0,1327,78911,2,9
92,19197,1461,70,2,41,0,1336,79610,2,9
93,18503,1463,66,3,41,0,1341,80309,1,9
94,18280,1467,66,3,45,0,1344,80529,0,9
95,18274,1474,64,2,40,0,1353,80529,1,9
96,18269,1480,62,2,37,0,1361,80529,2,9
97,18267,1482,56,2,33,0,1369,80529,2,9
98,18262,1488,57,2,31,0,1373,80529,2,9
99,18259,1492,54,2,29,0,1379,80529,2,9
100,18255,1496,52,1,30,0,1385,80529,2,9
101,18252,1499,47,1,28,0,1392,80529,1,9
102,18248,1503,47,1,27,0,1395,80529,0,9
103,18242,1509,48,1,27,0,1400,80529,0,9
104,18238,1514,49,1,26,0,1404,80529,1,9
105,18235,1518,51,2,27,0,1406,80529,2,9
106,18232,1521,50,3,25,0,1410,80529,2,9
107,18226,1527,49,3,23,0,1416,80529,1,9
108,18219,1535,51,3,24,0,1421,80529,1,9
109,18217,1537,51,3,26,0,1423,80529,1,9
110,18212,1542,51,2,25,0,1428,80529,1,9
111,18209,1545,50,2,25,0,1431,80529,0,9
112,18204,1551,52,2,27,0,1435,80529,1,9
113,18202,1553,51,1,32,0,1438,80529,1,9
114,18196,1559,53,1,30,0,1442,80529,1,9
115,18191,1565,52,1,29,0,1448,80529,1,9
116,18181,1575,58,2,27,0,1452,80529,1,9
117,18169,1587,67,3,28,0,1455,80529,1,9
118,18161,1596,72,3,27,0,1458,80529,1,9
119,18156,1601,71,2,28,0,1464,80529,1,9
120,18146,1611,74,4,24,0,1471,80529,1,9
121,18139,1618,78,4,32,0,1473,80529,0,9
122,18132,1627,82,4,39,0,1478,80529,2,9
123,18121,1639,91,4,44,0,1481,80529,3,9
124,18116,1646,93,3,45,0,1486,80529,5,9
125,18109,1654,97,4,52,0,1488,80529,4,9
126,18104,1659,95,4,53,0,1494,80529,3,9
127,18095,1668,97,3,56,0,1499,80529,1,9
128,18088,1675,93,4,56,0,1509,80529,0,9
129,18082,1681,87,6,47,0,1521,80529,0,9
130,18081,1682,80,5,47,0,1529,80529,0,9
131,18075,1688,81,5,47,0,1534,80529,0,9
