,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
264,17351,2368,12,1,7,0,2212,80568,0,4
265,17351,2368,10,0,6,0,2214,80568,0,4
266,17350,2369,10,0,5,0,2215,80568,0,4
267,17349,2370,10,1,5,0,2216,80568,0,4
268,17349,2370,9,1,4,0,2217,80568,0,4
269,17349,2370,9,1,6,0,2217,80568,0,4
270,17349,2370,6,1,3,0,2220,80568,0,4
271,17348,2371,7,1,4,0,2220,80568,0,4
272,17348,2371,7,1,5,0,2220,80568,0,4
273,17347,2372,8,1,5,0,2220,80568,0,4
274,17347,2373,7,0,4,0,2222,80568,1,4
275,17346,2374,8,0,4,0,2222,80568,1,4
276,17346,2374,6,0,3,0,2224,80568,1,4
277,17346,2374,5,0,3,0,2224,80568,0,4
278,17346,2374,4,0,3,0,2225,80568,0,4
279,17345,2376,5,0,2,0,2226,80568,1,4
280,17344,2377,6,0,3,0,2226,80568,1,4
281,17344,2377,6,0,3,0,2226,80568,1,4
282,17344,2377,5,0,3,0,2226,80568,0,4
283,17343,2379,6,0,2,0,2227,80568,1,4
284,17341,2381,8,0,3,0,2227,80568,1,4
285,17341,2381,7,0,3,0,2228,80568,1,4
286,17341,2381,6,0,3,0,2228,80568,0,4
287,17340,2382,6,0,2,0,2229,80568,0,4
288,17340,2382,6,0,3,0,2229,80568,0,4
289,17339,2383,7,0,5,0,2229,80568,0,4
290,17339,2383,7,0,5,0,2229,80568,0,4
291,17339,2383,6,0,4,0,2230,80568,0,4
292,17339,2383,5,0,4,0,2231,80568,0,4
293,17339,2383,5,0,4,0,2231,80568,0,4
294,17337,2385,7,0,5,0,2231,80568,0,4
295,17337,2385,6,0,4,0,2232,80568,0,4
296,17337,2386,5,0,2,0,2234,80568,1,4
297,17336,2387,6,0,2,0,2234,80568,1,4
298,17335,2388,7,0,2,0,2234,80568,1,4
299,17333,2390,7,1,2,0,2235,80568,0,4
300,17332,2392,9,1,2,0,2235,80568,1,4
301,17331,2393,9,1,1,0,2236,80568,1,4
302,17329,2395,11,1,2,0,2236,80568,1,4
303,17329,2395,10,1,3,0,2236,80568,0,4
304,17327,2397,12,1,5,0,2236,80568,0,4
305,17326,2398,13,1,6,0,2236,80568,0,4
306,17324,2400,13,0,6,0,2238,80568,0,4
307,17321,2403,16,1,7,0,2238,80568,0,4
308,17318,2406,19,1,7,0,2238,80568,0,4
309,17318,2406,18,1,8,0,2239,80568,0,4
310,17314,2411,22,1,8,0,2240,80568,1,4
311,17310,2416,25,1,8,0,2242,80568,2,4
312,17310,2416,24,2,9,0,2243,80568,2,4
313,17309,2417,23,2,11,0,2244,80568,1,4
314,17309,2417,20,1,10,0,2246,80568,0,4
315,17308,2418,21,1,14,0,2246,80568,0,4
316,17307,2420,21,3,14,0,2248,80568,1,4
317,17305,2422,22,3,13,0,2249,80568,1,4
318,17303,2424,22,3,12,0,2251,80568,1,4
319,17301,2426,20,2,10,0,2254,80568,0,4
320,17299,2429,20,2,8,0,2257,80568,1,4
321,17297,2431,22,2,9,0,2257,80568,1,4
322,17295,2433,20,2,7,0,2261,80568,1,4
323,17292,2437,19,0,7,0,2265,80568,1,4
324,17291,2438,20,0,9,0,2265,80568,1,4
325,17286,2444,25,0,10,0,2266,80568,2,4
326,17285,2446,26,0,12,0,2266,80568,2,4
327,17282,2449,28,1,12,0,2267,80568,2,4
328,17280,2451,28,1,14,0,2268,80568,1,4
329,17277,2455,29,1,13,0,2270,80568,1,4
330,17275,2458,30,1,16,0,2272,80568,2,4
331,17275,2458,28,1,15,0,2274,80568,2,4
332,17270,2463,30,1,16,0,2276,80568,1,4
333,17266,2467,31,1,16,0,2278,80568,0,4
334,17263,2471,33,0,18,0,2280,80568,1,4
335,17261,2473,32,0,17,0,2283,80568,1,4
336,17258,2476,34,0,16,0,2284,80568,1,4
337,17255,2479,31,0,16,0,2289,80568,0,4
338,17252,2483,34,1,18,0,2290,80568,1,4
339,17247,2490,38,1,18,0,2293,80568,3,4
340,17246,2491,37,1,18,0,2295,80568,3,4
341,17244,2493,35,1,18,0,2298,80568,2,4
342,17243,2494,32,1,19,0,2300,80568,0,4
343,17243,2494,32,1,22,0,2300,80568,0,4
344,17242,2495,28,1,22,0,2305,80568,0,4
345,17238,2499,28,0,20,0,2309,80568,0,4
346,17238,2499,25,1,18,0,2312,80568,0,4
347,17237,2500,24,1,17,0,2314,80568,0,4
348,17236,2501,22,1,14,0,2317,80568,0,4
349,17234,2503,21,1,12,0,2320,80568,0,4
350,17232,2505,20,1,13,0,2323,80568,0,4
351,17231,2507,17,1,8,0,2328,80568,1,4
352,17231,2507,16,1,8,0,2329,80568,1,4
353,17231,2507,14,0,8,0,2331,80568,1,4
354,17229,2509,14,0,9,0,2332,80568,0,4
355,17229,2509,14,0,11,0,2332,80568,0,4
356,17227,2511,15,0,11,0,2333,80568,0,4
357,17227,2511,11,0,7,0,2337,80568,0,4
358,17225,2513,13,0,7,0,2337,80568,0,4
359,17223,2515,14,0,8,0,2338,80568,0,4
360,17222,2516,14,0,7,0,2339,80568,0,4
361,17221,2518,14,1,6,0,2341,80568,1,4
362,17220,2520,14,1,4,0,2343,80568,2,4
363,17218,2523,16,1,5,0,2344,80568,3,4
364,17216,2525,17,1,7,0,2344,80568,2,4
365,17215,2526,17,1,8,0,2344,80568,1,4
366,17213,2528,16,1,7,0,2346,80568,0,4
367,17213,2528,16,1,8,0,2346,80568,0,4
368,17211,2530,16,1,8,0,2348,80568,0,4
369,17209,2532,18,1,10,0,2348,80568,0,4
370,17207,2534,18,1,9,0,2350,80568,0,4
371,17206,2535,17,1,9,0,2352,80568,0,4
372,17205,2536,17,1,8,0,2353,80568,0,4
373,17203,2538,18,2,8,0,2354,80568,0,4
374,17199,2542,21,2,9,0,2355,80568,0,4
375,17198,2543,20,1,10,0,2357,80568,0,4
376,17195,2546,21,1,9,0,2359,80568,0,4
377,17195,2546,20,1,9,0,2360,80568,0,4
378,17195,2546,18,1,9,0,2362,80568,0,4
379,17193,2548,20,1,13,0,2362,80568,0,4
380,17193,2548,18,0,13,0,2364,80568,0,4
381,17192,2549,17,0,14,0,2366,80568,0,4
382,17192,2549,15,0,12,0,2368,80568,0,4
383,17192,2549,14,0,11,0,2369,80568,0,4
384,17192,2549,13,0,12,0,2370,80568,0,4
385,17192,2549,11,0,10,0,2372,80568,0,4
386,17192,2549,7,0,7,0,2376,80568,0,4
387,17192,2549,6,0,6,0,2377,80568,0,4
388,17192,2549,3,0,3,0,2380,80568,0,4
389,17192,2549,3,0,3,0,2380,80568,0,4
390,17192,2549,3,0,3,0,2380,80568,0,4
391,17192,2549,1,0,1,0,2382,80568,0,4
392,17192,2549,1,0,1,0,2382,80568,0,4
393,17192,2549,0,0,0,0,2383,80568,0,4
394,17192,2549,0,0,0,0,2383,80568,0,4
395,17192,2549,0,0,0,0,2383,80568,0,4
396,17192,2549,0,0,0,0,2383,80568,0,4
397,17192,2549,0,0,0,0,2383,80568,0,4
398,17192,2549,0,0,0,0,2383,80568,0,4
399,17192,2549,0,0,0,0,2383,80568,0,4
